DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022022T012458_L30_T52KDD_v1,12500640,28342,88361,778257
DIST-ALERT_2022005T020331_L30_T52TFN_v1,10293706,10993,12588,3078313
DIST-ALERT_2022013T020330_L30_T52TFN_v1,11209468,16932,55154,2114046
DIST-ALERT_2022022T015722_L30_T52TFN_v1,13130390,8240,16719,240251
DIST-ALERT_2022014T015719_L30_T52TFN_v1,10475450,15465,20041,2884644
DIST-ALERT_2022009T010806_L30_T53JLM_v1,12878218,109,0,517273
DIST-ALERT_2022011T005607_L30_T53JLM_v1,13380542,0,18,15040
DIST-ALERT_2022003T005608_L30_T53JLM_v1,13391162,228,0,4210
DIST-ALERT_2022029T020333_L30_T52TFN_v1,12060969,18916,24611,1291104
DIST-ALERT_2022010T010154_L30_T53JLM_v1,0,0,0,13395600
DIST-ALERT_2022019T005605_L30_T53JLM_v1,13390283,0,226,5091
DIST-ALERT_2022002T010156_L30_T53JLM_v1,4,0,0,13395596
DIST-ALERT_2022025T010807_L30_T53JLM_v1,12951395,90,0,444115
DIST-ALERT_2022018T010155_L30_T53JLM_v1,10606221,10737,2095,2776547
DIST-ALERT_2022027T005609_L30_T53JLM_v1,13357914,0,28,37658
DIST-ALERT_2022026T010149_L30_T53JLM_v1,10095141,73403,100098,3126958
DIST-ALERT_2022007T011804_L30_T53LKC_v1,13045601,93,0,349906
DIST-ALERT_2022008T011152_L30_T53LKC_v1,10788797,8311,14757,2583735
DIST-ALERT_2022016T011152_L30_T53LKC_v1,12023721,13376,10546,1347957
DIST-ALERT_2022015T011802_L30_T53LKC_v1,13395600,0,0,0
DIST-ALERT_2022023T011804_L30_T53LKC_v1,13387628,148,273,7551
DIST-ALERT_2022031T011757_L30_T53LKC_v1,13395600,0,0,0
DIST-ALERT_2022024T011148_L30_T53LKC_v1,13299909,2196,5292,88203
DIST-ALERT_2022002T005821_L30_T53LNG_v1,13228620,3161,1025,162794
DIST-ALERT_2022009T010430_L30_T53LNG_v1,13066789,570,162,328079
DIST-ALERT_2022017T010428_L30_T53LNG_v1,13395370,0,0,230
DIST-ALERT_2022010T005818_L30_T53LNG_v1,13395600,0,0,0
DIST-ALERT_2022008T002738_L30_T54HUF_v1,12818667,63,586,576284
DIST-ALERT_2022018T005819_L30_T53LNG_v1,13208042,1856,1156,184546
DIST-ALERT_2022015T003347_L30_T54HUF_v1,10530413,4957,3174,2857056
DIST-ALERT_2022016T002735_L30_T54HUF_v1,7860311,29154,52245,5453890
DIST-ALERT_2022031T003350_L30_T54HUF_v1,7640450,11524,11880,5731746
DIST-ALERT_2022013T235031_L30_T55HFB_v1,13265709,3381,1357,125153
DIST-ALERT_2022012T235642_L30_T55HFB_v1,9262082,59206,48938,4025374
DIST-ALERT_2022004T235645_L30_T55HFB_v1,6841794,23083,14554,6516169
DIST-ALERT_2022023T003344_L30_T54HUF_v1,13344780,230,1622,48968
DIST-ALERT_2022005T235032_L30_T55HFB_v1,11908581,4104,5408,1477507
DIST-ALERT_2022024T002739_L30_T54HUF_v1,13245935,2879,768,146018
DIST-ALERT_2022021T235028_L30_T55HFB_v1,11770617,6989,9692,1608302
DIST-ALERT_2022028T235636_L30_T55HFB_v1,13394524,421,79,576
DIST-ALERT_2022020T235644_L30_T55HFB_v1,10143089,26400,19957,3206154
DIST-ALERT_2022029T235034_L30_T55HFB_v1,12039863,29285,13847,1312605
DIST-ALERT_2022003T000707_L30_T55JEK_v1,927554,135,0,12467911
DIST-ALERT_2022019T000705_L30_T55JEK_v1,12505792,21089,11961,856758
DIST-ALERT_2022020T235420_L30_T55JGM_v1,13345255,224,24815,25306
DIST-ALERT_2022004T235421_L30_T55JGM_v1,7112,45,8019715,5368728
DIST-ALERT_2022027T000659_L30_T55JEK_v1,12495228,11007,8840,880525
DIST-ALERT_2022012T235418_L30_T55JGM_v1,462756,2128,7740095,5190621
DIST-ALERT_2022028T235413_L30_T55JGM_v1,9605740,36035,2953776,800049
